Instr,Time,mg/m3
DustTrak,2013-07-11 22:22:25,0.003
DustTrak,2013-07-11 22:22:30,0.003
DustTrak,2013-07-11 22:22:35,0.003
DustTrak,2013-07-11 22:22:40,0.003
DustTrak,2013-07-11 22:22:45,0.003
DustTrak,2013-07-11 22:22:50,0.003
DustTrak,2013-07-11 22:22:55,0.003
DustTrak,2013-07-11 22:23:00,0.003
DustTrak,2013-07-11 22:23:05,0.003
DustTrak,2013-07-11 22:23:10,0.003
DustTrak,2013-07-11 22:23:15,0.003
DustTrak,2013-07-11 22:23:20,0.003
DustTrak,2013-07-11 22:23:25,0.003
DustTrak,2013-07-11 22:23:30,0.003
DustTrak,2013-07-11 22:23:35,0.003
DustTrak,2013-07-11 22:23:40,0.003
DustTrak,2013-07-11 22:23:45,0.003
DustTrak,2013-07-11 22:23:50,0.003
DustTrak,2013-07-11 22:23:55,0.003
DustTrak,2013-07-11 22:24:00,0.003
DustTrak,2013-07-11 22:24:05,0.003
DustTrak,2013-07-11 22:24:10,0.003
DustTrak,2013-07-11 22:24:15,0.003
DustTrak,2013-07-11 22:24:20,0.003
DustTrak,2013-07-11 22:24:25,0.003
DustTrak,2013-07-11 22:24:30,0.003
DustTrak,2013-07-11 22:24:35,0.003
DustTrak,2013-07-11 22:24:40,0.003
DustTrak,2013-07-11 22:24:45,0.003
DustTrak,2013-07-11 22:24:50,0.003
DustTrak,2013-07-11 22:24:55,0.003
DustTrak,2013-07-11 22:25:00,0.003
DustTrak,2013-07-11 22:25:05,0.003
DustTrak,2013-07-11 22:25:10,0.003
DustTrak,2013-07-11 22:25:15,0.004
DustTrak,2013-07-11 22:25:20,0.004
DustTrak,2013-07-11 22:25:25,0.004
DustTrak,2013-07-11 22:25:30,0.004
DustTrak,2013-07-11 22:25:35,0.004
DustTrak,2013-07-11 22:25:40,0.004
DustTrak,2013-07-11 22:25:45,0.004
DustTrak,2013-07-11 22:25:50,0.004
DustTrak,2013-07-11 22:25:55,0.004
DustTrak,2013-07-11 22:26:00,0.004
DustTrak,2013-07-11 22:26:05,0.004
DustTrak,2013-07-11 22:26:10,0.004
DustTrak,2013-07-11 22:26:15,0.004
DustTrak,2013-07-11 22:26:20,0.004
DustTrak,2013-07-11 22:26:25,0.004
DustTrak,2013-07-11 22:26:30,0.004
DustTrak,2013-07-11 22:26:35,0.004
DustTrak,2013-07-11 22:26:40,0.004
DustTrak,2013-07-11 22:26:45,0.004
DustTrak,2013-07-11 22:26:50,0.004
DustTrak,2013-07-11 22:26:55,0.004
DustTrak,2013-07-11 22:27:00,0.004
DustTrak,2013-07-11 22:27:05,0.004
DustTrak,2013-07-11 22:27:10,0.004
DustTrak,2013-07-11 22:27:15,0.004
DustTrak,2013-07-11 22:27:20,0.004
DustTrak,2013-07-11 22:27:25,0.004
DustTrak,2013-07-11 22:27:30,0.004
DustTrak,2013-07-11 22:27:35,0.004
DustTrak,2013-07-11 22:27:40,0.004
DustTrak,2013-07-11 22:27:45,0.004
DustTrak,2013-07-11 22:27:50,0.004
DustTrak,2013-07-11 22:27:55,0.004
DustTrak,2013-07-11 22:28:00,0.004
DustTrak,2013-07-11 22:28:05,0.004
DustTrak,2013-07-11 22:28:10,0.004
DustTrak,2013-07-11 22:28:15,0.004
DustTrak,2013-07-11 22:28:20,0.004
DustTrak,2013-07-11 22:28:25,0.004
DustTrak,2013-07-11 22:28:30,0.004
DustTrak,2013-07-11 22:28:35,0.004
DustTrak,2013-07-11 22:28:40,0.004
DustTrak,2013-07-11 22:28:45,0.004
DustTrak,2013-07-11 22:28:50,0.004
DustTrak,2013-07-11 22:28:55,0.004
DustTrak,2013-07-11 22:29:00,0.004
DustTrak,2013-07-11 22:29:05,0.004
DustTrak,2013-07-11 22:29:10,0.004
DustTrak,2013-07-11 22:29:15,0.005
DustTrak,2013-07-11 22:29:20,0.005
DustTrak,2013-07-11 22:29:25,0.005
DustTrak,2013-07-11 22:29:30,0.005
DustTrak,2013-07-11 22:29:35,0.005
DustTrak,2013-07-11 22:29:40,0.005
DustTrak,2013-07-11 22:29:45,0.005
DustTrak,2013-07-11 22:29:50,0.005
DustTrak,2013-07-11 22:29:55,0.005
DustTrak,2013-07-11 22:30:00,0.005
DustTrak,2013-07-11 22:30:05,0.005
DustTrak,2013-07-11 22:30:10,0.005
DustTrak,2013-07-11 22:30:15,0.005
DustTrak,2013-07-11 22:30:20,0.005
DustTrak,2013-07-11 22:30:25,0.005
DustTrak,2013-07-11 22:30:30,0.005
DustTrak,2013-07-11 22:30:35,0.005
DustTrak,2013-07-11 22:30:40,0.005
DustTrak,2013-07-11 22:30:45,0.005
DustTrak,2013-07-11 22:30:50,0.005
DustTrak,2013-07-11 22:30:55,0.005
DustTrak,2013-07-11 22:31:00,0.005
DustTrak,2013-07-11 22:31:05,0.005
DustTrak,2013-07-11 22:31:10,0.005
DustTrak,2013-07-11 22:31:15,0.005
DustTrak,2013-07-11 22:31:20,0.005
DustTrak,2013-07-11 22:31:25,0.005
DustTrak,2013-07-11 22:31:30,0.005
DustTrak,2013-07-11 22:31:35,0.005
DustTrak,2013-07-11 22:31:40,0.005
DustTrak,2013-07-11 22:31:45,0.005
DustTrak,2013-07-11 22:31:50,0.005
DustTrak,2013-07-11 22:31:55,0.005
DustTrak,2013-07-11 22:32:00,0.005
DustTrak,2013-07-11 22:32:05,0.005
DustTrak,2013-07-11 22:32:10,0.005
DustTrak,2013-07-11 22:32:15,0.005
DustTrak,2013-07-11 22:32:20,0.005
DustTrak,2013-07-11 22:32:25,0.005
DustTrak,2013-07-11 22:32:30,0.005
DustTrak,2013-07-11 22:32:35,0.005
DustTrak,2013-07-11 22:32:40,0.005
DustTrak,2013-07-11 22:32:45,0.005
DustTrak,2013-07-11 22:32:50,0.005
DustTrak,2013-07-11 22:32:55,0.005
DustTrak,2013-07-11 22:33:00,0.005
DustTrak,2013-07-11 22:33:05,0.005
DustTrak,2013-07-11 22:33:10,0.005
DustTrak,2013-07-11 22:33:15,0.005
DustTrak,2013-07-11 22:33:20,0.005
DustTrak,2013-07-11 22:33:25,0.005
DustTrak,2013-07-11 22:33:30,0.005
DustTrak,2013-07-11 22:33:35,0.005
DustTrak,2013-07-11 22:33:40,0.005
DustTrak,2013-07-11 22:33:45,0.005
DustTrak,2013-07-11 22:33:50,0.005
DustTrak,2013-07-11 22:33:55,0.005
DustTrak,2013-07-11 22:34:00,0.005
DustTrak,2013-07-11 22:34:05,0.005
DustTrak,2013-07-11 22:34:10,0.005
DustTrak,2013-07-11 22:34:15,0.005
DustTrak,2013-07-11 22:34:20,0.005
DustTrak,2013-07-11 22:34:25,0.005
DustTrak,2013-07-11 22:34:30,0.005
DustTrak,2013-07-11 22:34:35,0.005
DustTrak,2013-07-11 22:34:40,0.005
DustTrak,2013-07-11 22:34:45,0.005
DustTrak,2013-07-11 22:34:50,0.005
DustTrak,2013-07-11 22:34:55,0.005
DustTrak,2013-07-11 22:35:00,0.005
DustTrak,2013-07-11 22:35:05,0.005
DustTrak,2013-07-11 22:35:10,0.005
DustTrak,2013-07-11 22:35:15,0.366
DustTrak,2013-07-11 22:35:20,0.366
DustTrak,2013-07-11 22:35:25,0.366
DustTrak,2013-07-11 22:35:30,0.366
DustTrak,2013-07-11 22:35:35,0.366
DustTrak,2013-07-11 22:35:40,0.366
DustTrak,2013-07-11 22:35:45,0.366
DustTrak,2013-07-11 22:35:50,0.366
DustTrak,2013-07-11 22:35:55,0.366
DustTrak,2013-07-11 22:36:00,0.366
DustTrak,2013-07-11 22:36:05,0.366
DustTrak,2013-07-11 22:36:10,0.366
DustTrak,2013-07-11 22:36:15,0.366
DustTrak,2013-07-11 22:36:20,0.366
DustTrak,2013-07-11 22:36:25,0.366
DustTrak,2013-07-11 22:36:30,0.366
DustTrak,2013-07-11 22:36:35,0.366
DustTrak,2013-07-11 22:36:40,0.366
DustTrak,2013-07-11 22:36:45,0.366
DustTrak,2013-07-11 22:36:50,0.366
DustTrak,2013-07-11 22:36:55,0.366
DustTrak,2013-07-11 22:37:00,0.366
DustTrak,2013-07-11 22:37:05,0.366
DustTrak,2013-07-11 22:37:10,0.366
DustTrak,2013-07-11 22:37:15,0.262
DustTrak,2013-07-11 22:37:20,0.262
DustTrak,2013-07-11 22:37:25,0.262
DustTrak,2013-07-11 22:37:30,0.262
DustTrak,2013-07-11 22:37:35,0.262
DustTrak,2013-07-11 22:37:40,0.262
DustTrak,2013-07-11 22:37:45,0.262
DustTrak,2013-07-11 22:37:50,0.262
DustTrak,2013-07-11 22:37:55,0.262
DustTrak,2013-07-11 22:38:00,0.262
DustTrak,2013-07-11 22:38:05,0.262
DustTrak,2013-07-11 22:38:10,0.262
DustTrak,2013-07-11 22:38:15,0.262
DustTrak,2013-07-11 22:38:20,0.262
DustTrak,2013-07-11 22:38:25,0.262
DustTrak,2013-07-11 22:38:30,0.262
DustTrak,2013-07-11 22:38:35,0.262
DustTrak,2013-07-11 22:38:40,0.262
DustTrak,2013-07-11 22:38:45,0.262
DustTrak,2013-07-11 22:38:50,0.262
DustTrak,2013-07-11 22:38:55,0.262
DustTrak,2013-07-11 22:39:00,0.262
DustTrak,2013-07-11 22:39:05,0.262
DustTrak,2013-07-11 22:39:10,0.262
DustTrak,2013-07-11 22:39:15,0.242
DustTrak,2013-07-11 22:39:20,0.242
DustTrak,2013-07-11 22:39:25,0.242
DustTrak,2013-07-11 22:39:30,0.242
DustTrak,2013-07-11 22:39:35,0.242
DustTrak,2013-07-11 22:39:40,0.242
DustTrak,2013-07-11 22:39:45,0.242
DustTrak,2013-07-11 22:39:50,0.242
DustTrak,2013-07-11 22:39:55,0.242
DustTrak,2013-07-11 22:40:00,0.242
DustTrak,2013-07-11 22:40:05,0.242
DustTrak,2013-07-11 22:40:10,0.242
DustTrak,2013-07-11 22:40:15,0.242
DustTrak,2013-07-11 22:40:20,0.242
DustTrak,2013-07-11 22:40:25,0.242
DustTrak,2013-07-11 22:40:30,0.242
DustTrak,2013-07-11 22:40:35,0.242
DustTrak,2013-07-11 22:40:40,0.242
DustTrak,2013-07-11 22:40:45,0.242
DustTrak,2013-07-11 22:40:50,0.242
DustTrak,2013-07-11 22:40:55,0.242
DustTrak,2013-07-11 22:41:00,0.242
DustTrak,2013-07-11 22:41:05,0.242
DustTrak,2013-07-11 22:41:10,0.242
DustTrak,2013-07-11 22:41:15,0.098
DustTrak,2013-07-11 22:41:20,0.098
DustTrak,2013-07-11 22:41:25,0.098
DustTrak,2013-07-11 22:41:30,0.098
DustTrak,2013-07-11 22:41:35,0.098
DustTrak,2013-07-11 22:41:40,0.098
DustTrak,2013-07-11 22:41:45,0.098
DustTrak,2013-07-11 22:41:50,0.098
DustTrak,2013-07-11 22:41:55,0.098
DustTrak,2013-07-11 22:42:00,0.098
DustTrak,2013-07-11 22:42:05,0.098
DustTrak,2013-07-11 22:42:10,0.098
DustTrak,2013-07-11 22:42:15,0.098
DustTrak,2013-07-11 22:42:20,0.098
DustTrak,2013-07-11 22:42:25,0.098
DustTrak,2013-07-11 22:42:30,0.098
DustTrak,2013-07-11 22:42:35,0.098
DustTrak,2013-07-11 22:42:40,0.098
DustTrak,2013-07-11 22:42:45,0.098
DustTrak,2013-07-11 22:42:50,0.098
DustTrak,2013-07-11 22:42:55,0.098
DustTrak,2013-07-11 22:43:00,0.098
DustTrak,2013-07-11 22:43:05,0.098
DustTrak,2013-07-11 22:43:10,0.098
DustTrak,2013-07-11 22:43:15,0.061
DustTrak,2013-07-11 22:43:20,0.061
DustTrak,2013-07-11 22:43:25,0.061
DustTrak,2013-07-11 22:43:30,0.061
DustTrak,2013-07-11 22:43:35,0.061
DustTrak,2013-07-11 22:43:40,0.061
DustTrak,2013-07-11 22:43:45,0.061
DustTrak,2013-07-11 22:43:50,0.061
DustTrak,2013-07-11 22:43:55,0.061
DustTrak,2013-07-11 22:44:00,0.061
DustTrak,2013-07-11 22:44:05,0.061
DustTrak,2013-07-11 22:44:10,0.061
DustTrak,2013-07-11 22:44:15,0.061
DustTrak,2013-07-11 22:44:20,0.061
DustTrak,2013-07-11 22:44:25,0.061
DustTrak,2013-07-11 22:44:30,0.061
DustTrak,2013-07-11 22:44:35,0.061
DustTrak,2013-07-11 22:44:40,0.061
DustTrak,2013-07-11 22:44:45,0.061
DustTrak,2013-07-11 22:44:50,0.061
DustTrak,2013-07-11 22:44:55,0.061
DustTrak,2013-07-11 22:45:00,0.061
DustTrak,2013-07-11 22:45:05,0.061
DustTrak,2013-07-11 22:45:10,0.061
DustTrak,2013-07-11 22:45:15,0.047
DustTrak,2013-07-11 22:45:20,0.047
DustTrak,2013-07-11 22:45:25,0.047
DustTrak,2013-07-11 22:45:30,0.047
DustTrak,2013-07-11 22:45:35,0.047
DustTrak,2013-07-11 22:45:40,0.047
DustTrak,2013-07-11 22:45:45,0.047
DustTrak,2013-07-11 22:45:50,0.047
DustTrak,2013-07-11 22:45:55,0.047
DustTrak,2013-07-11 22:46:00,0.047
DustTrak,2013-07-11 22:46:05,0.047
DustTrak,2013-07-11 22:46:10,0.047
DustTrak,2013-07-11 22:46:15,0.047
DustTrak,2013-07-11 22:46:20,0.047
DustTrak,2013-07-11 22:46:25,0.047
DustTrak,2013-07-11 22:46:30,0.047
DustTrak,2013-07-11 22:46:35,0.047
DustTrak,2013-07-11 22:46:40,0.047
DustTrak,2013-07-11 22:46:45,0.047
DustTrak,2013-07-11 22:46:50,0.047
DustTrak,2013-07-11 22:46:55,0.047
DustTrak,2013-07-11 22:47:00,0.047
DustTrak,2013-07-11 22:47:05,0.047
DustTrak,2013-07-11 22:47:10,0.047
DustTrak,2013-07-11 22:47:15,0.041
DustTrak,2013-07-11 22:47:20,0.041
DustTrak,2013-07-11 22:47:25,0.041
DustTrak,2013-07-11 22:47:30,0.041
DustTrak,2013-07-11 22:47:35,0.041
DustTrak,2013-07-11 22:47:40,0.041
DustTrak,2013-07-11 22:47:45,0.041
DustTrak,2013-07-11 22:47:50,0.041
DustTrak,2013-07-11 22:47:55,0.041
DustTrak,2013-07-11 22:48:00,0.041
DustTrak,2013-07-11 22:48:05,0.041
DustTrak,2013-07-11 22:48:10,0.041
DustTrak,2013-07-11 22:48:15,0.041
DustTrak,2013-07-11 22:48:20,0.041
DustTrak,2013-07-11 22:48:25,0.041
DustTrak,2013-07-11 22:48:30,0.041
